Bill,Fir Start Date,Bill Date,Accounting Date,Due Date,Total,Total Currency,Outstanding,Outstanding Currency,Country,Operator,Operator Ref ID,Call Sign,Aircraft Registration,Origin ICAO Code,Origin IATA Code,Destination ICAO Code,Destination IATA Code,Aircraft Manufacturer,Aircraft Model,Aircraft Model ICAO Code,Aircraft Model MTOW (kg),Fir Started,Fir Ended,Duration,Flight ID,Flight Segment ID,Flight Segment Observed Point Count,Flight Segment Point Count,Flight Segment Duration Seconds,Flight Duration Seconds,Flight Length Km,Flight Path Observed Point Count,Flight Path Point Count,Manually Updated,Flight Takeoff,Flight Landing,Departure Scheduled Utc,Arrival Scheduled Utc
LZXKYX3H4Q,2024-09-17 18:48:00 UTC,,,,395.00,USD,395.00,USD,Somalia,ETHIOPIAN AIRLINES CORPORATION,XU4PWEKVF7,ETH685,ETAVB,ZSPD,PVG,HAAB,ADD,AIRBUS,AIRBUS A-350-900 XWB,A359,268000.0,2024-09-17 @ 18:48 UTC,2024-09-17 @ 18:48 UTC,00:00:00,663e784f-3e9f-481b-b16b-677fb5e98dae,0bffc650-d241-4b08-b822-ef324cf19c4d,1,2,0,39360,9080.15,121,122,false,2024-09-17 16:39:00 UTC,2024-09-18 03:35:00 UTC,2024-09-17 16:20:00 UTC,2024-09-18 03:35:00 UTC
LYUMTCALXZ,2024-09-17 15:15:00 UTC,,,,395.00,USD,395.00,USD,Somalia,QATAR AIRWAYS COMPANY,VJRFT7T74N,QTR1364,A7BHD,FAOR,JNB,OTHH,DOH,BOEING,BOEING Dreamliner (Srs.9),B789,254011.7272,2024-09-17 @ 15:15 UTC,2024-09-17 @ 17:13 UTC,01:58:00,401a1dc9-708b-4c8f-85ea-751b8df040bb,4a151a9a-f66a-4e31-aebd-ebd63b9d2118,117,117,7080,28500,6909.63,297,297,false,2024-09-17 11:45:00 UTC,2024-09-17 19:40:00 UTC,2024-09-17 11:35:00 UTC,2024-09-17 19:55:00 UTC
JJYP77P7HE,2024-09-17 22:06:00 UTC,,,,395.00,USD,395.00,USD,Somalia,QATAR AIRWAYS COMPANY,VJRFT7T74N,QTR1452,A7BCQ,,,OTHH,DOH,BOEING,BOEING Dreamliner (Srs.8),B788,228000.0,2024-09-17 @ 22:06 UTC,2024-09-17 @ 23:58 UTC,01:52:00,d2f09455-511b-4d1c-91bd-6ce4ed51f95d,57f57dc8-8d2f-4085-bbbb-c0d283121201,112,112,6720,25260,6684.27,244,245,false,2024-09-17 19:25:00 UTC,2024-09-18 02:26:00 UTC,2024-09-17 16:35:00 UTC,2024-09-17 17:45:00 UTC
PXUPQ7VE2N,2024-09-17 16:56:00 UTC,,,,395.00,USD,395.00,USD,Somalia,EMIRATES,X4MJMENRMC,UAE2H,A6EUD,FIMP,MRU,OMDB,DXB,AIRBUS,AIRBUS A-380-800,A388,560000.0,2024-09-17 @ 16:56 UTC,2024-09-17 @ 16:56 UTC,00:00:00,835e2173-8dd2-48fb-bb9f-ce54597b3fc2,74ce2766-ab86-4aba-9cde-9832d5631d17,2,2,0,22560,5272.74,131,131,false,2024-09-17 12:47:00 UTC,2024-09-17 19:03:00 UTC,2024-09-17 12:35:00 UTC,2024-09-17 19:10:00 UTC
9VNM7QKTM4,2024-09-17 06:16:00 UTC,,,,395.00,USD,395.00,USD,Somalia,EMIRATES,X4MJMENRMC,UAE797,A6ECV,OMDB,DXB,GUCY,CKY,BOEING,BOEING 777-300ER,B77W,351500.0,2024-09-17 @ 06:16 UTC,2024-09-17 @ 06:38 UTC,00:22:00,2f816cd3-0218-4488-8499-c766d65e8836,0e70acc3-0d8e-4bc4-acc5-5eae13e96ec6,25,25,1320,35340,8799.77,229,230,false,2024-09-17 04:11:00 UTC,2024-09-17 14:00:00 UTC,2024-09-17 03:50:00 UTC,2024-09-17 14:00:00 UTC
JQHHHKJDTU,2024-09-17 15:22:00 UTC,,,,345.00,USD,345.00,USD,Somalia,ETHIOPIAN AIRLINES CORPORATION,XU4PWEKVF7,ETH374,ETAPL,HCMH,HGA,HAAB,ADD,BOEING,BOEING 737-800,B738,70530.0,2024-09-17 @ 15:22 UTC,2024-09-17 @ 15:22 UTC,00:00:00,87d69e36-c0ab-4f94-b195-77d6e2ad503b,efcb7c80-c8ee-43d8-a55c-8377d59faefb,1,2,0,3000,583.1,13,14,false,2024-09-17 14:55:00 UTC,2024-09-17 15:45:00 UTC,,
TE2VPLFLMX,2024-09-17 07:57:00 UTC,,,,395.00,USD,395.00,USD,Somalia,EMIRATES,X4MJMENRMC,UAE261,A6EUI,OMDB,DXB,SBGR,GRU,AIRBUS,AIRBUS A-380-800,A388,560000.0,2024-09-17 @ 07:57 UTC,2024-09-17 @ 08:01 UTC,00:04:00,c4cf4ec0-b310-4af2-93cf-69f2a4970496,f149b4c8-ad30-4d18-9911-d27a1cc8ae2a,7,7,240,53220,13060.51,98,99,false,2024-09-17 05:48:00 UTC,2024-09-17 20:35:00 UTC,2024-09-17 05:05:00 UTC,2024-09-17 20:35:00 UTC
EAYPEVAHUF,2024-09-16 01:46:00 UTC,,,,345.00,USD,345.00,USD,Somalia,QATAR AIRWAYS COMPANY,VJRFT7T74N,QTR55N,A7AHP,OTHH,DOH,HTZA,ZNZ,AIRBUS,AIRBUS A-320 ,A320,73900.0,2024-09-16 @ 01:46 UTC,2024-09-16 @ 03:55 UTC,02:09:00,05d05511-f0d4-4ef0-9ff1-76bbf38a6f17,191f7e1c-469c-407f-a88a-7c6aa5a1e3d1,128,128,7740,19380,4340.8,230,231,false,2024-09-15 23:32:00 UTC,2024-09-16 04:55:00 UTC,,
EENFZ23PQZ,2024-09-16 15:25:00 UTC,,,,395.00,USD,395.00,USD,Somalia,ETHIOPIAN AIRLINES CORPORATION,XU4PWEKVF7,ETH852,ETAXT,FMMI,TNR,HAAB,ADD,BOEING,BOEING Dreamliner (Srs.9),B789,254011.7272,2024-09-16 @ 15:25 UTC,2024-09-16 @ 15:25 UTC,00:00:00,a78de842-2277-468e-be09-1cf6e3573140,1ac40f4c-2a7c-4e3c-9d53-fa7af18922df,1,2,0,13920,3261.93,11,12,false,2024-09-16 11:50:00 UTC,2024-09-16 15:42:00 UTC,2024-09-16 11:50:00 UTC,2024-09-16 16:30:00 UTC
23ZAWTYDCT,2024-09-14 08:47:00 UTC,,,,245.00,USD,245.00,USD,Somalia,,,7QSTC,7QSTC,HCMM,MGQ,,,DE HAVILLAND CANADA,DE HAVILLAND CANADA CC-115 Buffalo,DHC5,22316.744604,2024-09-14 @ 08:47 UTC,2024-09-14 @ 11:17 UTC,02:30:00,ef60a925-3933-4fcc-ad95-df9e00102e08,634d410f-3c32-49ba-8288-23c125207e5d,34,34,9000,9120,511.94,26,26,false,2024-09-14 08:47:00 UTC,2024-09-14 11:19:00 UTC,,
